,title,rating,gross,votes,stars
465,Atlas Shrugged: Who Is John Galt?,PG-13,830210,2887,4.3
466,Kingsman: The Secret Service,R,128261724,573079,7.7
467,Leviathan,R,1092800,47002,7.6
468,Tokyo Tribe,R,,2972,6.5
469,Indigenous,R,,3555,4.7
470,After the Fall,R,,820,5.1
471,Når dyrene drømmer,R,,3505,5.8
472,3 coeurs,PG-13,154528,2183,5.9
473,A Haunted House 2,R,17329486,19114,4.7
474,Død snø 2,R,,21931,6.9
475,Chrysalis,R,,900,4.7
476,White God,R,280494,14577,6.9
477,A Fighting Man,R,,1435,5.5
478,"As Above, So Below",R,21197315,72361,6.2
479,Wish I Was Here,R,3588432,35867,6.7
480,Magic in the Moonlight,PG-13,10506939,62201,6.5
481,Life Partners,R,7563,8163,6.2
482,On Any Sunday: The Next Chapter,PG,538509,354,7.1
483,Nightcrawler,R,32381218,439972,7.8
484,Out of the Dark,R,,3917,4.8
485,Lucy,R,126663600,427997,6.4
486,The War I Knew,R,,155,4
487,The Blood Lands,R,,2254,4.7
488,Black or White,PG-13,21569041,11322,6.6
489,Chef,R,30640336,187007,7.3
490,I Origins,R,334658,111211,7.4
491,99 Homes,R,1410915,28856,7.1
492,Manglehorn,PG-13,132075,6966,5.6
493,Bang Bang,PG-13,2546172,21117,5.5
494,My Old Lady,PG-13,4011530,8457,6.4
495,Puncture Wounds,R,,1225,4.3
496,Obvious Child,R,3122616,22888,6.8
497,Dakota's Summer,PG,,807,5.6
498,The Signal,PG-13,600896,60774,6.1
499,John Wick,R,43037835,509880,7.4
500,Beyond the Reach,R,44577,9267,5.6
501,The Young Kieslowski,R,,689,6.6
502,The Seventh Dwarf,PG,,1089,4.6
503,God's Pocket,R,104401,10500,6.1
504,American Heist,R,,16051,5
505,The Silent Storm,R,,359,5.1
506,L'homme qu'on aimait trop,R,275376,1533,6.1
507,Guns N' Roses Appetite for Democracy 3D Live at Hard Rock Las Vegas,PG,,130,7.8
508,Beyond Sight: The Derek Rabelo Story,PG,90194,14,7.6
509,5 Flights Up,PG-13,1013061,8839,6.2
510,The Connection,R,,9568,7.1
511,Loin des hommes,PG-13,,6371,7.2
512,Balls Out,R,,1365,4.3
513,A Most Violent Year,R,5740310,64008,7
514,Backcountry,R,,17712,6
515,Alex & Marissa: Le commencement,PG-13,,,
516,Wayward: The Prodigal Son,PG-13,,53,7.2
517,The Living,R,,1991,6.1
518,I'm Right Here,PG-13,,5,6.4
519,Happy Christmas,R,30312,7503,5.4
520,Like a Country Song,PG-13,,181,5.3
521,The Road Within,R,,13566,7.1
522,Comet,R,,17031,6.8
523,Last Shift,R,,16023,5.8
524,Pantani: The Accidental Death of a Cyclist,PG,,1741,7
525,Under the Electric Sky,PG-13,204150,555,6.4
526,The Genius of Beauty,PG,,,
527,The Purge: Anarchy,R,71962800,132903,6.4
528,Alex of Venice,R,,2941,5.8
529,Dolphin Tale 2,PG,42019483,8050,6.4
530,Just Before I Go,R,8129,17300,6.4
531,The Theory of Everything,PG-13,35893537,384943,7.7
532,The Guest,R,322600,85930,6.7
533,The Hundred-Foot Journey,PG,54240821,73895,7.3
534,Planes: Fire & Rescue,PG,59165787,16087,6
535,Crimes of the Mind,PG-13,,217,5.3
536,Guardian Angel,R,,45,7.6
537,Seal Team Eight: Behind Enemy Lines,R,,2785,4.6
538,Camp X-Ray,R,9837,38400,6.9
539,Black Coffee,PG,,692,5.6
540,Bad Ass 2: Bad Asses,R,,4439,5.6
541,Cantinflas,PG,6370412,3712,6.5
542,Outlander,TV-MA,,111393,8.4
543,Boy Meets Girl,R,20289,4084,7.1
544,The Water Diviner,R,4190530,69578,7
545,Relatos salvajes,R,3107072,166236,8.1
546,Avis de mistral,PG-13,,3214,6.6
547,Moms' Night Out,PG,10429707,12916,5.4
548,Nicholas on Holiday,G,,2447,6.2
549,Eden,R,,2732,4.7
550, SpongeBob SquarePants,G,,166,7.2
551,Throwdown,R,,645,3.4
552,À toute épreuve,PG-13,,270,5.4
553,The Adventures of RoboRex,PG,,221,5.1
554,Monsura Is Waiting,PG-13,,15,8.3
555,Una Vida: A Fable of Music and the Mind,PG-13,15073,355,6.8
556,Telos: The Fantastic World of Eugene Tssui,G,,8,7.8
557, Game of Thrones,R,,38897,9.6
558, Game of Thrones,R,,38217,9.7
559,Justice League: War,PG-13,,28683,7.3
560,Break Point,R,,1156,6
561,Learning to Drive,R,3446820,7121,6.4
562,Softwaring Hard,G,,50,8.1
563,Grace,R,,2259,4.7
564,108 Stitches,R,,122,4.3
565,We'll Never Have Paris,R,,3346,4.6
566,Kelly & Cal,R,5387,1974,6.2
567,4:48,R,,204,4.8
568,Goodnight Mommy,R,1168902,40675,6.7
569,Dinosaur 13,PG,,3405,7.2
570,Eden,R,,4125,6.4
571,Cymbeline,R,,3538,3.7
572,You or a Loved One,PG-13,,19,8.8
573,Sector 4: Extraction,R,,797,2.3
574,Tusk,R,1821983,44373,5.3
575,Persistence of Memory,PG-13,,6,8.7
576,Private Number,R,,968,4.7
577,"Like Sunday, Like Rain",R,27623,4116,6.9
578,See No Evil 2,R,,5850,4.7
579,Believe Me,PG-13,,1047,5
580,Misconception,PG-13,,35,5.7
581,"Dude, Where's My Dog?!",PG,,106,2.3
582,Share,PG,,26,7.4
583,Jimmy's Hall,PG-13,560341,5692,6.7
584,Sins of Our Youth,R,,299,5.2
585,8 Days,PG-13,,141,4.7
586,Mea culpa,R,,2589,6.1
587,10.000 Km,R,,4060,6.7
588,Party Central,PG,,1554,7.1
589,Tinker Bell and the Legend of the NeverBeast,G,,7165,7.3
590,Let's Ruin It with Babies,R,,226,5.1
591,Backtrack,R,,669,3.4
592,Beethoven's Treasure Tail,PG,,860,4.6
593,Beyond the Lights,PG-13,14618727,14777,6.9
594,Gui lai,PG-13,377607,5095,7.2
595,Light from the Darkroom,PG-13,,12,5.7
596,Phantom Halo,R,,796,5.2
597,Fleecing Led Zeppelin,PG-13,,7,3.9
598,Le dernier diamant,R,,1472,6.3
599,The Hungover Games,R,,10849,3.6
600,Mostly Ghostly: Have You Met My Ghoulfriend?,PG,,844,4.7
601,Joy Ride 3: Road Kill,R,,4225,4.7
602,Son of Batman,PG-13,,22599,6.7
603,Batman: Assault on Arkham,PG-13,,29693,7.5
604,Unsullied,R,510957,283,4.3
605,Senki szigete,R,,291,5.6
606,The Blackout,R,,512,5.3
607,A Brilliant Young Mind,PG-13,139511,26424,7.1
608,Caped Crusader: The Dark Hours,PG-13,,36,7.1
609,Un illustre inconnu,G,,1494,6.8
610,MOTH (Man of the House),R,,19,6.7
611,Veil of Tears,PG-13,,60,8.8
612,Ballet 422,PG,332843,1086,6.2
613,Ciudad Delirio,R,,322,6
614,A Murder in the Park,PG-13,,1073,7.2
615,Pride,R,,49512,7.8
616,Pudsey the Dog: The Movie,PG,,770,2.5
617,Honeymoon,R,9168,23812,5.7
618,Familia Gang,R,,44,4.5
